|angle	|radius		|
|    290|1.314884012|
|    291|1.313981171|
|    292|1.313035943|
|    293|1.312048561|
|    294|1.311019272|
|    295|1.309948331|
|    296|1.308836004|
|    297|1.307682568|
|    298|1.306488308|
|    299|1.305253524|
|    300|1.303978521|
|    301|1.302663617|
|    302|1.301309140|
|    303|1.299915428|
|    304|1.298482829|
|    305|1.297011699|
|    306|1.295502407|
|    307|1.293955329|
|    308|1.292370852|
|    309|1.290749373|
|    310|1.289091299|
|    311|1.287397043|
|    312|1.285667033|
|    313|1.283901701|
|    314|1.282101491|
|    315|1.280266857|
|    316|1.278398260|
|    317|1.276496170|
|    318|1.274561068|
|    319|1.272593443|
|    320|1.270593791|
|    321|1.268562618|
|    322|1.266500440|
|    323|1.264407780|
|    324|1.262285169|
|    325|1.260133147|
|    326|1.257952262|
|    327|1.255743071|
|    328|1.253506138|
|    329|1.251242036|
|    330|1.248951345|
|    331|1.246634652|
|    332|1.244292554|
|    333|1.241925654|
|    334|1.239534563|
|    335|1.237119900|
|    336|1.234682290|
|    337|1.232222367|
|    338|1.229740769|
|    339|1.227238146|
|    340|1.224715151|
|    341|1.222172444|
|    342|1.219610695|
|    343|1.217030578|
|    344|1.214432774|
|    345|1.211817971|
|    346|1.209186863|
|    347|1.206540152|
|    348|1.203878543|
|    349|1.201202750|
|    350|1.198513493|
|    351|1.195811495|
|    352|1.193097490|
|    353|1.190372213|
|    354|1.187636407|
|    355|1.184890820|
|    356|1.182136207|
|    357|1.179373326|
|    358|1.176602943|
|    359|1.173825827|
|    360|1.171042753|
