|theta	|radius	|x	|y	|
|    264|1.306561899|-0.136572907|-1.299404416|
|    266|1.306986650|-0.091170780|-1.303802896|
|    268|1.307241668|-0.045622076|-1.306445331|
|    270|1.307326702|-0.000000000|-1.307326702|
|    272|1.307241668|0.045622076|-1.306445331|
|    274|1.306986650|0.091170780|-1.303802896|
|    276|1.306561899|0.136572907|-1.299404416|
|    278|1.305967835|0.181755593|-1.293258246|
|    280|1.305205042|0.226646477|-1.285376045|
|    282|1.304274274|0.271173870|-1.275772752|
|    284|1.303176449|0.315266917|-1.264466539|
|    286|1.301912650|0.358855760|-1.251478762|
|    288|1.300484125|0.401871695|-1.236833901|
|    290|1.298892285|0.444247326|-1.220559496|
|    292|1.297138705|0.485916712|-1.202686065|
|    294|1.295225119|0.526815517|-1.183247024|
|    296|1.293153421|0.566881148|-1.162278596|
|    298|1.290925664|0.606052889|-1.139819708|
|    300|1.288544058|0.644272029|-1.115911888|
|    302|1.286010966|0.681481985|-1.090599151|
|    304|1.283328906|0.717628417|-1.063927881|
|    306|1.280500547|0.752659337|-1.035946704|
|    308|1.277528708|0.786525209|-1.006706360|
|    310|1.274416353|0.819179042|-0.976259566|
|    312|1.271166595|0.850576475|-0.944660877|
|    314|1.267782686|0.880675855|-0.911966544|
|    316|1.264268021|0.909438306|-0.878234364|
|    318|1.260626134|0.936827788|-0.843523529|
|    320|1.256860692|0.962811149|-0.807894480|
|    322|1.252975498|0.987358166|-0.771408744|
|    324|1.248974485|1.010441584|-0.734128783|
|    326|1.244861716|1.032037135|-0.696117837|
|    328|1.240641376|1.052123557|-0.657439765|
|    330|1.236317779|1.070682604|-0.618158889|
|    332|1.231895354|1.087699037|-0.578339837|
|    334|1.227378651|1.103160624|-0.538047387|
|    336|1.222772335|1.117058112|-0.497346315|
|    338|1.218081182|1.129385206|-0.456301242|
|    340|1.213310081|1.140138530|-0.414976488|
|    342|1.208464025|1.149317586|-0.373435921|
|    344|1.203548113|1.156924700|-0.331742819|
|    346|1.198567546|1.162964967|-0.289959733|
|    348|1.193527623|1.167446181|-0.248148346|
|    350|1.188433740|1.170378761|-0.206369353|
|    352|1.183291388|1.171775677|-0.164682332|
|    354|1.178106147|1.171652358|-0.123145625|
|    356|1.172883686|1.170026600|-0.081816230|
|    358|1.167629760|1.166918471|-0.040749691|
|    360|1.162350206|1.162350206|-0.000000000|
