|theta	|radius	|x	|y	|
|    232|1.646463498|-1.013664146|-1.297430942|
|    234|1.653712370|-0.972027742|-1.337881411|
|    236|1.660617005|-0.928605245|-1.376713891|
|    238|1.667169644|-0.883465311|-1.413840042|
|    240|1.673362919|-0.836681459|-1.449174797|
|    242|1.679189867|-0.788331891|-1.482636651|
|    244|1.684643938|-0.738499295|-1.514147942|
|    246|1.689718999|-0.687270633|-1.543635116|
|    248|1.694409343|-0.634736912|-1.571028986|
|    250|1.698709695|-0.580992933|-1.596264965|
|    252|1.702615219|-0.526137037|-1.619283299|
|    254|1.706121522|-0.470270825|-1.640029268|
|    256|1.709224660|-0.413498870|-1.658453383|
|    258|1.711921143|-0.355928419|-1.674511559|
|    260|1.714207937|-0.297669084|-1.688165266|
|    262|1.716082469|-0.238832519|-1.699381672|
|    264|1.717542630|-0.179532092|-1.708133751|
|    266|1.718586777|-0.119882553|-1.714400386|
|    268|1.719213736|-0.059999694|-1.718166437|
|    270|1.719422800|-0.000000000|-1.719422800|
|    272|1.719213736|0.059999694|-1.718166437|
|    274|1.718586777|0.119882553|-1.714400386|
|    276|1.717542630|0.179532092|-1.708133751|
|    278|1.716082469|0.238832519|-1.699381672|
|    280|1.714207937|0.297669084|-1.688165266|
|    282|1.711921143|0.355928419|-1.674511559|
|    284|1.709224660|0.413498870|-1.658453383|
|    286|1.706121522|0.470270825|-1.640029268|
|    288|1.702615219|0.526137037|-1.619283299|
|    290|1.698709695|0.580992933|-1.596264965|
|    292|1.694409343|0.634736912|-1.571028986|
|    294|1.689718999|0.687270633|-1.543635116|
|    296|1.684643938|0.738499295|-1.514147942|
|    298|1.679189867|0.788331891|-1.482636651|
|    300|1.673362919|0.836681459|-1.449174797|
|    302|1.667169644|0.883465311|-1.413840042|
|    304|1.660617005|0.928605245|-1.376713891|
|    306|1.653712370|0.972027742|-1.337881411|
|    308|1.646463498|1.013664146|-1.297430942|
|    310|1.638878539|1.053450819|-1.255453798|
|    312|1.630966019|1.091329281|-1.212043958|
|    314|1.622734832|1.127246334|-1.167297750|
|    316|1.614194230|1.161154155|-1.121313533|
|    318|1.605353814|1.193010380|-1.074191371|
|    320|1.596223525|1.222778161|-1.026032704|
|    322|1.586813628|1.250426203|-0.976940019|
|    324|1.577134707|1.275928781|-0.927016522|
|    326|1.567197651|1.299265736|-0.876365805|
|    328|1.557013640|1.320422453|-0.825091523|
|    330|1.546594140|1.339389815|-0.773297070|
|    332|1.535950887|1.356164138|-0.721085263|
|    334|1.525095872|1.370747090|-0.668558026|
|    336|1.514041336|1.383145585|-0.615816091|
|    338|1.502799754|1.393371669|-0.562958696|
|    340|1.491383822|1.401442372|-0.510083309|
|    342|1.479806446|1.407379563|-0.457285340|
|    344|1.468080730|1.411209772|-0.404657890|
|    346|1.456219962|1.412964006|-0.352291494|
|    348|1.444237606|1.412677550|-0.300273883|
|    350|1.432147284|1.410389749|-0.248689766|
|    352|1.419962767|1.406143787|-0.197620622|
|    354|1.407697964|1.399986447|-0.147144505|
|    356|1.395366906|1.391967862|-0.097335875|
|    358|1.382983739|1.382141263|-0.048265436|
|    360|1.370562710|1.370562710|-0.000000000|
